Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
83767,03/04/00,1200,0,,18.3,,,,,
83767,04/04/00,0,,28.4,,8.9,5.8,22.9,64.25,1.666667
83767,04/04/00,1200,0,,17.8,,,,,
83767,05/04/00,0,,29.5,,10.2,5.8,23.34,61.25,0.666667
83767,05/04/00,1200,0,,18.3,,,,,
83767,06/04/00,0,,30.1,,9.5,5.5,24.22,59.5,1
83767,06/04/00,1200,0,,19.3,,,,,
83767,07/04/00,0,,30.4,,10,6.3,24.96,59.5,1
83767,07/04/00,1200,0,,20.1,,,,,
83767,08/04/00,0,,31.9,,10.8,6.1,26.1,53.25,1
83767,08/04/00,1200,0,,21.7,,,,,
83767,09/04/00,0,,31.6,,8,7.1,26.18,48,1
83767,09/04/00,1200,0,,21,,,,,
83767,10/04/00,0,,31.8,,9.4,7.5,25.9,44,0.666667
83767,10/04/00,1200,0,,21,,,,,
83767,11/04/00,0,,31.5,,10.7,8.1,24.92,45.5,0.333333
83767,11/04/00,1200,0,,19,,,,,
83767,12/04/00,0,,30.8,,10.1,8.1,24.4,46.25,0.333333
83767,12/04/00,1200,0,,16.5,,,,,
83767,13/04/00,0,,31,,9.5,7.2,24.3,60.75,1
83767,13/04/00,1200,0,,17.6,,,,,
83767,14/04/00,0,,31.1,,5.9,5,25,73,1
83767,14/04/00,1200,0,,20.2,,,,,
83767,15/04/00,0,,32.1,,7.6,5,25.72,61.75,0.333333
83767,15/04/00,1200,6,,20.8,,,,,
83767,16/04/00,0,,30.9,,8,5.7,25.46,63.25,1.333333
83767,16/04/00,1200,0.6,,21.9,,,,,
83767,17/04/00,0,,29,,4.9,5.3,24.42,54.5,1.333333
83767,17/04/00,1200,0,,20.8,,,,,
83767,18/04/00,0,,25.3,,0.1,7,20.86,96.75,0.666667
83767,18/04/00,1200,14.2,,18.2,,,,,
83767,19/04/00,0,,23.3,,4.4,1.3,18.8,74.5,1.333333
83767,19/04/00,1200,10.7,,17,,,,,
83767,20/04/00,0,,21.4,,9.3,3.5,16.72,72.25,2
83767,20/04/00,1200,0,,13,,,,,
83767,21/04/00,0,,22.8,,9.9,3.6,16.74,73.75,1.333333
83767,21/04/00,1200,0,,10.9,,,,,
83767,22/04/00,0,,25.6,,9.7,3,19.3,57,0.666667
83767,22/04/00,1200,0,,13.1,,,,,
83767,23/04/00,0,,27.5,,9.9,4.8,21.18,58.25,1
83767,23/04/00,1200,0,,16,,,,,
83767,24/04/00,0,,28,,10.3,3.9,21.4,60.5,0.666667
83767,24/04/00,1200,0,,15.8,,,,,
83767,25/04/00,0,,29.4,,9.7,5.3,22.82,53.25,1
83767,25/04/00,1200,0,,18.2,,,,,
83767,26/04/00,0,,27.8,,2.8,7.1,22.58,64.25,0.666667
83767,26/04/00,1200,0.5,,17.5,,,,,
83767,27/04/00,0,,30,,9,5.9,24.66,54,1.333333
83767,27/04/00,1200,0,,20.6,,,,,
83767,28/04/00,0,,30.1,,8.6,7.8,24.8,55.75,1
83767,28/04/00,1200,0,,20.4,,,,,
83767,29/04/00,0,,28.4,,3.8,6.1,23.74,52.5,0.666667
83767,29/04/00,1200,0,,20.8,,,,,
83767,30/04/00,0,,30.3,,9.4,7.2,24.58,51,0.666667
83767,30/04/00,1200,0,,20.2,,,,,
83767,01/05/00,0,,28.2,,1.7,6.4,22.12,73.25,1
83767,01/05/00,1200,0,,19.8,,,,,
83767,02/05/00,0,,30.9,,9.2,3.9,24.58,64.75,1
83767,02/05/00,1200,0.3,,18.8,,,,,
83767,03/05/00,0,,29.2,,2.1,5.1,24.26,73.75,0.666667
83767,03/05/00,1200,0,,20,,,,,
83767,04/05/00,0,,28.8,,1.9,4,23.86,74,0.666667
83767,04/05/00,1200,0,,20.4,,,,,
83767,05/05/00,0,,29.4,,3.8,3.7,23.54,79.25,1.666667
83767,05/05/00,1200,0,,21,,,,,
83767,06/05/00,0,,20.7,,6.5,2.4,16.06,64.5,2
83767,06/05/00,1200,11,,14.7,,,,,
83767,07/05/00,0,,23.2,,8.4,3.9,16.6,58.5,0.333333
83767,07/05/00,1200,0,,8.5,,,,,
83767,08/05/00,0,,22.5,,0.7,4,18.82,69.5,1
83767,08/05/00,1200,0,,16.3,,,,,
83767,09/05/00,0,,24.9,,9.1,3.6,19.14,59.25,1
83767,09/05/00,1200,0,,14.7,,,,,
83767,10/05/00,0,,25.4,,8.8,4.2,18.48,58,0.333333
83767,10/05/00,1200,0,,12.5,,,,,
83767,11/05/00,0,,23.2,,8.5,5,17.8,56.5,1
83767,11/05/00,1200,0,,14.3,,,,,
83767,12/05/00,0,,25.3,,9.3,8.1,18.86,63.25,1
83767,12/05/00,1200,0,,13,,,,,
83767,13/05/00,0,,27,,9,3.9,20.8,58,1
83767,13/05/00,1200,0,,15.8,,,,,
83767,14/05/00,0,,28.4,,9.2,6.5,21.72,61.5,0.333333
83767,14/05/00,1200,0,,16.6,,,,,
83767,15/05/00,0,,28,,5.4,5.1,22.06,60,0.666667
83767,15/05/00,1200,0,,17.3,,,,,
83767,16/05/00,0,,27.8,,2.3,6.4,20.22,80,2
83767,16/05/00,1200,0,,17.6,,,,,
83767,17/05/00,0,,20.9,,9.5,2.4,15.42,73,3
83767,17/05/00,1200,11.9,,13.4,,,,,
83767,18/05/00,0,,18.4,,1.9,3.9,14.62,81.75,0.666667
83767,18/05/00,1200,0,,12.5,,,,,
83767,19/05/00,0,,21.5,,4.7,2.6,15.88,72,0.333333
83767,19/05/00,1200,0,,10.4,,,,,
83767,20/05/00,0,,21.5,,5.6,3.1,16.54,77.75,0.666667
83767,20/05/00,1200,0,,12.6,,,,,
83767,21/05/00,0,,23.4,,9.2,3.4,17.24,65.25,0.666667
83767,21/05/00,1200,0,,13.7,,,,,
83767,22/05/00,0,,23.9,,9.6,5.2,17.52,59,1
83767,22/05/00,1200,0,,13.4,,,,,
83767,23/05/00,0,,26.7,,9.3,5.2,19.94,61.25,0.666667
83767,23/05/00,1200,0,,14.6,,,,,
83767,24/05/00,0,,26.9,,8.8,4.6,20.2,68.25,1.333333
83767,24/05/00,1200,0,,15.2,,,,,
83767,25/05/00,0,,28.1,,9.3,5.2,21.98,58.5,1.333333
83767,25/05/00,1200,0,,18.2,,,,,
83767,26/05/00,0,,21.6,,1.3,6.9,18.16,83.5,1
83767,26/05/00,1200,0,,16.1,,,,,
83767,27/05/00,0,,23,,8.5,1.2,17.86,63,1.333333
83767,27/05/00,1200,4.3,,14.9,,,,,
83767,28/05/00,0,,21.7,,9.8,4.9,14.72,49,1.333333
83767,28/05/00,1200,0,,9.1,,,,,
83767,29/05/00,0,,24,,9.4,6.4,15.46,50,0.666667
83767,29/05/00,1200,0,,8.4,,,,,
83767,30/05/00,0,,15.9,,0,5.8,13.06,85.75,1
83767,30/05/00,1200,0.4,,10.6,,,,,
83767,31/05/00,0,,19.6,,1.4,0.6,15.78,80.25,1
83767,31/05/00,1200,9.9,,12.3,,,,,
83767,01/06/00,0,,21,,7.9,2,15.62,69.5,1
83767,01/06/00,1200,0,,12.7,,,,,
83767,02/06/00,0,,22.2,,5.4,3.1,16.26,72.5,1
83767,02/06/00,1200,0,,10.7,,,,,
83767,03/06/00,0,,21.3,,0.5,4.1,18.68,64.5,1.333333
83767,03/06/00,1200,0,,15.5,,,,,
83767,04/06/00,0,,20.2,,0,4.5,17.98,84,1
83767,04/06/00,1200,0.2,,15.9,,,,,
83767,05/06/00,0,,26.4,,8.3,2.7,21.6,67.25,1.333333
83767,05/06/00,1200,4.6,,18.3,,,,,
83767,06/06/00,0,,27.4,,9.2,5.1,21.78,62.5,1.333333
83767,06/06/00,1200,0,,18.9,,,,,
83767,07/06/00,0,,26.8,,9.1,5.4,20.82,60.75,1
83767,07/06/00,1200,0,,17.3,,,,,
83767,08/06/00,0,,27.3,,5.9,5.6,21.6,63.75,0.333333
83767,08/06/00,1200,0,,16.2,,,,,
83767,09/06/00,0,,28,,5.4,4.6,22.62,61,0.666667
83767,09/06/00,1200,0,,19,,,,,
83767,10/06/00,0,,27,,7.7,5.2,21.76,66.5,1.333333
83767,10/06/00,1200,0,,19.4,,,,,
83767,11/06/00,0,,27.7,,7.1,4.7,22.02,59.75,0.333333
83767,11/06/00,1200,0,,17.4,,,,,
83767,12/06/00,0,,19.6,,0,5.3,18.56,79.75,1.009627
83767,12/06/00,1200,0,,18.8,,,,,
83767,13/06/00,0,,28.6,,9.1,5.6,22.6,50,0.666667
83767,13/06/00,1200,0,,18.4,,,,,
83767,14/06/00,0,,29.3,,9,7.2,23.3,50.75,1
83767,14/06/00,1200,0,,19.3,,,,,
83767,15/06/00,0,,28.9,,8.8,8.5,23.68,52.75,1.333333
83767,15/06/00,1200,0,,19.8,,,,,
83767,16/06/00,0,,29.4,,7.8,7.4,24.34,53.75,1
83767,16/06/00,1200,0,,20.5,,,,,
83767,17/06/00,0,,24.4,,2.8,4.6,20.44,82,0.333333
83767,17/06/00,1200,11,,17.4,,,,,
83767,18/06/00,0,,22.5,,0.8,1.8,17.36,92.25,1.333333
83767,18/06/00,1200,14.9,,15.6,,,,,
83767,19/06/00,0,,17.9,,0.7,1.2,14.36,91.75,0.666667
83767,19/06/00,1200,1.9,,12.7,,,,,
83767,20/06/00,0,,14.3,,0,0.8,12.14,98,1.333333
83767,20/06/00,1200,5.2,,11.4,,,,,
83767,21/06/00,0,,17.8,,7.6,0.4,12.2,84.25,0.666667
83767,21/06/00,1200,19.4,,10.3,,,,,
83767,22/06/00,0,,21,,9.6,2.8,14.32,63.75,1
83767,22/06/00,1200,0,,8.2,,,,,
83767,23/06/00,0,,24.7,,8.5,4.7,17.66,49.25,1
83767,23/06/00,1200,0,,11.5,,,,,
83767,24/06/00,0,,29.2,,8.8,8.4,21.68,47.75,1.666667
83767,24/06/00,1200,0,,15.2,,,,,
83767,25/06/00,0,,25.5,,4.7,7.3,21.8,74.75,0.666667
83767,25/06/00,1200,0,,18.5,,,,,
83767,26/06/00,0,,27.1,,7.3,2.8,21.14,83.25,0.666667
83767,26/06/00,1200,0.5,,18.3,,,,,
83767,27/06/00,0,,26.3,,5.8,2.6,21.5,75.75,1
83767,27/06/00,1200,29.7,,18.6,,,,,
83767,28/06/00,0,,28.3,,8.3,4.3,22.42,52,2
83767,28/06/00,1200,0,,19.2,,,,,
83767,29/06/00,0,,27.9,,5,7.4,21.72,58.25,1
83767,29/06/00,1200,0,,15.5,,,,,
83767,30/06/00,0,,23.3,,6.2,4.8,17.82,84.5,0.333333
83767,30/06/00,1200,19.2,,13.6,,,,,
83767,01/07/00,0,,26.6,,5.7,2.2,20.78,76.75,1.333333
83767,01/07/00,1200,0,,17.7,,,,,
83767,02/07/00,0,,28.4,,8.7,4.1,21.44,72.5,1.333333
83767,02/07/00,1200,0,,19.2,,,,,
83767,03/07/00,0,,25.5,,6.2,3.7,19.58,78.5,0.666667
83767,03/07/00,1200,3.9,,14.9,,,,,
83767,04/07/00,0,,23.5,,6.9,3.4,18.34,68.25,1.333333
83767,04/07/00,1200,0,,14.8,,,,,
83767,05/07/00,0,,25.1,,9.2,3.8,19.5,68.25,0.666667
83767,05/07/00,1200,0,,15.1,,,,,
83767,06/07/00,0,,25.2,,9.2,4.8,20.02,60,1.666667
83767,06/07/00,1200,0,,17,,,,,
83767,07/07/00,0,,27,,9.5,6.6,21.14,58,0.666667
83767,07/07/00,1200,0,,17.1,,,,,
83767,08/07/00,0,,28.6,,9.1,5.6,22.78,53.75,1
83767,08/07/00,1200,0,,19,,,,,
83767,09/07/00,0,,27.2,,4.6,6.4,22.94,56.25,0.666667
83767,09/07/00,1200,0,,18.5,,,,,
83767,10/07/00,0,,25.1,,2.2,5.1,21.46,73,1.333333
83767,10/07/00,1200,2.1,,18.7,,,,,
83767,11/07/00,0,,21.2,,0,3.4,11.74,91,2
83767,11/07/00,1200,0,,8.4,,,,,
83767,12/07/00,0,,12.3,,6.4,1.1,7.66,65.5,2
83767,12/07/00,1200,0,,6,,,,,
83767,13/07/00,0,,13.3,,9.8,3.4,6.7,54.75,1.333333
83767,13/07/00,1200,0,,0.7,,,,,
83767,14/07/00,0,,21.9,,9.7,4.1,12.64,44.25,0.666667
83767,14/07/00,1200,0,,3.1,,,,,
83767,15/07/00,0,,16.7,,0,6.2,11.8,97.25,0.333333
83767,15/07/00,1200,3.3,,6.2,,,,,
83767,16/07/00,0,,13.1,,9.5,0.5,7.76,54.25,2.333333
83767,16/07/00,1200,18.8,,5.5,,,,,
83767,17/07/00,0,,15.6,,9.3,5.4,7.7,44.75,0.666667
83767,17/07/00,1200,0,,0.5,,,,,
83767,18/07/00,0,,17.9,,5.6,3.8,11.58,43.75,0.333333
83767,18/07/00,1200,0,,4.5,,,,,
83767,19/07/00,0,,17.5,,1.9,4.7,11.96,49,1.666667
83767,19/07/00,1200,0.6,,8.4,,,,,
83767,20/07/00,0,,18.1,,9.7,5.4,9.18,50.25,0.333333
83767,20/07/00,1200,0,,3.2,,,,,
83767,21/07/00,0,,21.7,,7.7,4.6,14.84,39.75,1.666667
83767,21/07/00,1200,0,,6,,,,,
83767,22/07/00,0,,17.8,,0,7,15.74,93.5,1.666667
83767,22/07/00,1200,2.4,,12.5,,,,,
83767,23/07/00,0,,17.2,,2.7,0.6,10.62,70.75,1.333333
83767,23/07/00,1200,42.1,,8.6,,,,,
83767,24/07/00,0,,18.3,,9.9,3.1,9.82,56.75,0.666667
83767,24/07/00,1200,0,,3,,,,,
83767,25/07/00,0,,21.3,,9.1,3.7,14.4,52.25,1
83767,25/07/00,1200,0,,8.2,,,,,
83767,26/07/00,0,,24.7,,9.6,5,17.16,46,1
83767,26/07/00,1200,0,,10.3,,,,,
83767,27/07/00,0,,24.7,,9.7,6.4,16.58,55,1
83767,27/07/00,1200,0,,10.4,,,,,
83767,28/07/00,0,,26.4,,9.8,5.4,18.3,60.25,1
83767,28/07/00,1200,0,,11.5,,,,,
83767,29/07/00,0,,27.2,,9.6,5.3,19.7,52.75,0.666667
83767,29/07/00,1200,0,,13.5,,,,,
83767,30/07/00,0,,26.4,,4.5,6.4,19.08,59.5,1
83767,30/07/00,1200,0,,15.1,,,,,
83767,31/07/00,0,,19.7,,1.4,4.4,16.28,85,2
83767,31/07/00,1200,0.3,,13.7,,,,,
83767,01/09/00,0,,18.9,,0,0.5,17.84,98.75,0.666667
83767,01/09/00,1200,13.9,,16.8,,,,,
83767,02/09/00,0,,17.9,,0.1,0.1,15.96,96.75,1
